,Content,Processed,Polarity,Subjectivity,Label
0,Display is excellent and camera is as good as any from that year.,"['display', 'excellent', 'camera', 'good', 'year']",0.85,0.8,Positive
1,Battery life is also great!,"['battery', 'life', 'also', 'great']",0.8,0.75,Positive
2,Protects the phone on all sides.,"['protects', 'phone', 'sides']",0.0,0.0,Neutral
3,"Clear Skype Calls, Long Battery Life, Long Range.","['clear', 'skype', 'calls', 'long', 'battery', 'life', 'long', 'range']",4.625929269271485e-18,0.39444444444444443,Positive
4,Great Hands Free Device.,"['great', 'hands', 'free', 'device']",0.6000000000000001,0.775,Positive
5,"you can even take self portraits with the outside (exterior) display, very cool.","['even', 'take', 'self', 'portraits', 'outside', 'exterior', 'display', 'cool']",0.175,0.35000000000000003,Positive
6,After trying many many handsfree gadgets this is the one that finally works well.,"['trying', 'many', 'many', 'handsfree', 'gadgets', 'one', 'finally', 'works', 'well']",0.3333333333333333,0.6666666666666666,Positive
7,Magical Help.,"['magical', 'help']",0.5,1.0,Positive
8,The best phone in market :).,"['best', 'phone', 'market']",1.0,0.3,Positive
9,It worked very well.,"['worked', 'well']",0.0,0.0,Neutral
10,The company shipped my product very promptly and it works well.,"['company', 'shipped', 'product', 'promptly', 'works', 'well']",0.0,0.0,Neutral
11,Exactly what I wanted.,"['exactly', 'wanted']",0.25,0.25,Positive
12,This is a great deal.,"['great', 'deal']",0.8,0.75,Positive
13,"Excellent product, I am very satisfied with the purchase.","['excellent', 'product', 'satisfied', 'purchase']",0.75,1.0,Positive
14,I highly recommend these and encourage people to give them a try.,"['highly', 'recommend', 'encourage', 'people', 'give', 'try']",0.16,0.5399999999999999,Positive
15,Better than you'd expect.,"['good', 'expect']",0.7,0.6000000000000001,Positive
16,Great product and price.,"['great', 'product', 'price']",0.8,0.75,Positive
17,"Sounds good reasonably priced and effective, Its that simple !","['sounds', 'good', 'reasonably', 'priced', 'effective', 'simple']",0.375,0.5892857142857143,Positive
18,Very prompt service.,"['prompt', 'service']",0.0,0.0,Neutral
19,Excellent product for the price.,"['excellent', 'product', 'price']",1.0,1.0,Positive
20,Very pleased with this headset.,"['pleased', 'headset']",0.5,1.0,Positive
21,I especially love the long battery life.,"['especially', 'love', 'long', 'battery', 'life']",0.475,0.7,Positive
22,Works great.,"['works', 'great']",0.8,0.75,Positive
23,Plantronics Bluetooth Excelent Buy.,"['plantronics', 'bluetooth', 'excelent', 'buy']",0.0,0.0,Neutral
24,I highly recommend this device to everyone!,"['highly', 'recommend', 'device', 'everyone']",0.16,0.5399999999999999,Positive
25,Jawbone Era is awesome too!,"['jawbone', 'era', 'awesome']",1.0,1.0,Positive
26,"I have used several phone in two years, but this one is the best.","['used', 'several', 'phone', 'two', 'years', 'one', 'best']",0.5,0.15,Positive
27,An Awesome New Look For Fall 2000!.,"['awesome', 'new', 'look', 'fall']",0.5681818181818181,0.7272727272727273,Positive
28,Price is good too.,"['price', 'good']",0.7,0.6000000000000001,Positive
29,I'm using it with an iriver SPINN (with case) and it fits fine.,"['using', 'iriver', 'spinn', 'case', 'fits', 'fine']",0.4166666666666667,0.5,Positive
30,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.","['overall', 'psyched', 'phone', 'appointments', 'contacts', 'gets', 'great', 'reception']",0.4,0.375,Positive
31,"every thing on phone work perfectly, she like it.","['every', 'thing', 'phone', 'work', 'perfectly', 'like']",1.0,1.0,Positive
32,IT'S REALLY EASY.,"['really', 'easy']",0.43333333333333335,0.8333333333333334,Positive
33,My Sanyo has survived dozens of drops on blacktop without ill effect.,"['sanyo', 'survived', 'dozens', 'drops', 'blacktop', 'without', 'ill', 'effect']",-0.5,1.0,Negative
34,Fantastic earphones.,"['fantastic', 'earphones']",0.4,0.9,Positive
35,It finds my cell phone right away when I enter the car.,"['finds', 'cell', 'phone', 'right', 'away', 'enter', 'car']",0.2857142857142857,0.5357142857142857,Positive
36,I highly recommend this modest priced cellular phone.,"['highly', 'recommend', 'modest', 'priced', 'cellular', 'phone']",0.13,0.72,Positive
